,Compound Score,Negative Score,Neutral Score,News Organization,Positive Score,Tweet,Tweet Number
139,0.0,0.0,1.0,@CBS,0.0,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,39
140,0.8908,0.0,0.509,@CBS,0.491,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,40
141,0.0,0.0,1.0,@CBS,0.0,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,41
142,0.4926,0.0,0.738,@CBS,0.262,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,42
143,0.5093,0.0,0.477,@CBS,0.523,@writerlindsayb You're welcome! #TonyAwards,43
144,0.7579,0.0,0.435,@CBS,0.565,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,44
145,0.6467,0.0,0.752,@CBS,0.248,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",45
146,0.0,0.0,1.0,@CBS,0.0,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,46
147,0.636,0.0,0.724,@CBS,0.276,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,47
148,0.8834,0.0,0.437,@CBS,0.563,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,48
149,0.0,0.0,1.0,@CBS,0.0,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,49
150,0.7351,0.079,0.625,@CBS,0.296,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,50
151,0.0,0.0,1.0,@CBS,0.0,RT @KatLargent: MAGIC #TonyAwards,51
152,0.0,0.0,1.0,@CBS,0.0,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,52
153,0.4019,0.0,0.838,@CBS,0.162,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,53
154,0.9151,0.0,0.543,@CBS,0.457,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,54
155,0.6369,0.0,0.625,@CBS,0.375,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,55
156,0.1511,0.0,0.898,@CBS,0.102,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,56
157,0.1531,0.0,0.852,@CBS,0.148,Nathan Lane saw his #AngelsinAmerica role as a challenge. How will you challenge yourself in 2018? #TonyAwards https://t.co/3WXd6AqgBi,57
